Model,Output File,rouge1,rouge2,rougeL,rougeLsum,meteor,bertscore_f1,kendalls_tau,kendalls_tau_recall
BART,Consolidated_Narrative_BART.txt,0.8789685197588748,0.8046754638622814,0.7919624916275955,0.7586068318821166,0.45509679171733924,0.888027012348175,0.18915662650602408,0.8493975903614458
PEGASUS,Consolidated_Narrative_PEGASUS.txt,0.761731802992881,0.6486342502905851,0.6193520267325294,0.6186255993026296,0.5023292762341156,0.8872189521789551,0.08849189862899874,0.8795180722891566
PRIMERA,Consolidated_Narrative_PRIMERA.txt,0.9386403360829169,0.8406881535772334,0.8206433412038882,0.7847045475453068,0.5271944691498109,0.8963639736175537,0.12119064493267186,0.8253012048192772
Gemma-3-4B,Consolidated_Narrative_Gemma-3-4B.txt,0.8589193449513968,0.7092687198949057,0.7177511165601191,0.6770003211022565,0.48634885230962543,0.9005439877510071,0.2321459752051685,0.8373493975903614
TAEG-Extractive,Consolidated_Narrative_TAEG-Extractive.txt,0.9322974472807991,0.8532648336663178,0.8511812272078643,0.7982876169335658,0.5335928577831812,0.9330472946166992,0.1487357882233158,0.8614457831325302
BART (No TAEG),Consolidated_Narrative_BART_NoTAEG.txt,0.0064044468612168455,0.00447156927911052,0.004954383420941334,0.004954383420941334,0.0020309138364940278,0.8201671838760376,-0.012048192771084338,0.012048192771084338
PEGASUS (No TAEG),Consolidated_Narrative_PEGASUS_NoTAEG.txt,0.01484496588052197,0.004190613026819923,0.011852029211061894,0.011852029211061894,0.0048873093808089775,0.7820505499839783,0.0,0.0
PRIMERA (No TAEG),Consolidated_Narrative_PRIMERA_NoTAEG.txt,0.022994011976047904,0.015331177386513356,0.017964071856287425,0.017964071856287425,0.00677945715088382,0.8504265546798706,0.006024096385542168,0.030120481927710843
